Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/10/2022,12/11/2022,HEALTHY PAWS PET INSURAN,Bills & Utilities,Sale,-68.90,
12/10/2022,12/11/2022,DD *FAMOUSDAVES,Food & Drink,Sale,-74.69,
12/08/2022,12/09/2022,365 Market  888 432-3299,Food & Drink,Sale,-4.23,
12/09/2022,12/09/2022,APPLE.COM/BILL,Entertainment,Sale,-16.99,
12/07/2022,12/07/2022,APPLE.COM/BILL,Entertainment,Sale,-0.99,
12/07/2022,12/07/2022,APPLE.COM/BILL,Entertainment,Sale,-29.99,
12/06/2022,12/07/2022,365 Market  888 432-3299,Food & Drink,Sale,-2.58,
12/05/2022,12/06/2022,365 Market  888 432-3299,Food & Drink,Sale,-5.99,
12/04/2022,12/06/2022,THE HOME DEPOT 1017,Home,Sale,-99.65,
12/04/2022,12/05/2022,WALGREENS #6502,Health & Wellness,Sale,-81.43,
12/04/2022,12/05/2022,CVS/PHARMACY #09904,Health & Wellness,Sale,-1.97,
12/04/2022,12/04/2022,APPLE.COM/BILL,Entertainment,Sale,-29.99,
11/30/2022,12/02/2022,365 Market  888 432-3299,Food & Drink,Sale,-2.76,
12/01/2022,12/02/2022,APPLE.COM/BILL,Entertainment,Sale,-3.99,
11/28/2022,11/30/2022,365 Market  888 432-3299,Food & Drink,Sale,-1.69,
11/29/2022,11/30/2022,WALGREENS #6502,Health & Wellness,Sale,-25.57,
11/26/2022,11/28/2022,DAISYS,Home,Sale,-17.72,
11/26/2022,11/28/2022,PETCO 372     63503726,Shopping,Sale,-45.39,
11/26/2022,11/28/2022,ROSS STORES #1399,Shopping,Sale,-16.60,
11/26/2022,11/28/2022,ALAMEDA PARKING GARAGE,Travel,Sale,-1.50,
11/26/2022,11/28/2022,STARBUCKS STORE 05335,Food & Drink,Sale,-12.50,
11/26/2022,11/27/2022,APPLE.COM/BILL,Entertainment,Sale,-9.99,
11/26/2022,11/27/2022,SQ *HOMESKILLET,Food & Drink,Sale,-51.43,
11/26/2022,11/27/2022,Etsy.com - TimeDate,Shopping,Sale,-39.86,
11/26/2022,11/27/2022,TJ MAXX #1084,Shopping,Sale,-42.13,
11/26/2022,11/27/2022,APPLE.COM/BILL,Entertainment,Sale,-14.99,
11/25/2022,11/27/2022,Payment Thank You-Mobile,,Payment,1550.00,
11/26/2022,11/27/2022,DOLLAR TREE,Shopping,Sale,-84.87,
11/24/2022,11/25/2022,DD DOORDASH TACOBELL,Food & Drink,Sale,-78.04,
